link,titulo,categoria,data,texto
http://www.e-farsas.com/o-pt-usou-uma-foto-antiga-do-lula-na-academia-no-primeiro-dia-util-de-2022.html,O PT usou uma foto antiga do Lula na academia no primeiro dia útil de 2022?,Falso,2022-04-01,"
- Publicidade -
No dia 03 de janeiro de 2021, o perfil oficial do Partido dos Trabalhadores no Twitter publicou uma mensagem motivacional para seus seguidores e, para ilustrar o texto, utilizou uma foto do ex-presidente petista Lula treinando os braços em um exercício.
Como o perfil não deixou claro se aquela foto é recente ou não, vários leitores passaram a compartilhar a imagem como sendo de 2022, mas será que é mesmo?
Será?
Através de uma 
busca reversa feita no site TinEye
, encontramos essa mesma fotografia publicada em artigos datados de 2017, como 
nessa matéria assinada pelo jornalista Josias de Souza no UOL
. 
A mesma foto já havia sido publicada no 
perfil do ex-presidente Lula em seu perfil no Facebook no dia 29 de dezembro de 2017
, onde ele pedia para que não abandonemos nossos sonhos!
- Publicidade -"
http://www.e-farsas.com/o-surfista-italo-ferreira-disse-ao-new-york-times-que-seu-maior-premio-seria-ver-o-lula-na-cadeia.html,O surfista Ítalo Ferreira disse ao New York Times que seu maior prêmio seria ver o Lula na cadeia?,Verdadeiro,2021-07-28,"
- Publicidade -
Uma imagem com a foto do surfista, ao lado de uma frase atribuída a ele, começou a se espalhar através de grupos do WhatsApp no final de julho de 2021.
De acordo com a publicação, o ganhador da medalha de ouro no surfe nas olimpíadas de Tóquio, Ítalo Ferreira, teria dito em entrevista ao jornal New York Times que está muito triste com a corrupção no Brasil e que o seu maior prêmio seria ver o Lula na cadeia.
Será que ele disse isso mesmo?
Verdade ou mentira?
Fizemos uma 
busca no site do jornal New York Times
 e não encontramos nada relacionado entre as reportagens que citam o atleta.  
A única frase do surfista publicada no jornal foi: 
“Para mim, foi um longo dia […] Mas foi um sonho que se tornou realidade.”
A frase acima foi publicada em uma reportagem do New York Times do dia 27 de julho de 2021, que fala sobre as vitórias do brasileiro e da norte-americana Carissa Moore no surfe nas Olimpíadas de Tóquio.   
Não encontramos nada parecido com a frase atribuída ao Ítalo Ferreira em outras entrevistas dadas por ele a outros meios de comunicação.
A única menção que encontramos do atleta a respeito de corrupção foi feita por ele em janeiro de 2021, quando Ferreira publicou a seguinte frase: “A corrupção nos estados mata mais que qualquer vírus. Triste realidade”:
- Publicidade -
Conclusão
- Publicidade -"
http://www.e-farsas.com/lula-ri-de-video-de-policiais-atirando-em-manifestantes-em-cuba-sera-verdade.html,Lula ri de vídeo de policiais atirando em manifestantes em Cuba! Será verdade?,Verdadeiro,2021-07-15,"
- Publicidade -
O vídeo tem pouco mais de 2 minutos de duração e começou a ser compartilhado nas redes sociais no final da primeira quinzena de julho de 2021, indo parar 
no nosso grupo no Facebook
. Nele podemos ver um grupo de policiais atirando contra manifestantes desarmados e, logo em seguida, um trecho de uma live com a participação do ex-presidente Lula.
Lula é questionado sobre a situação de Cuba e, entre sorrisos, chama as manifestações ocorridas na ilha de “passeatas”, além de minimizar o que está acontecendo naquele país!
O vídeo que pode ser visto aqui, dá a entender que se trata de um flagrante ocorrido durante manifestações ocorridas em Cuba em julho de 2021, mas será que isso é real? 
Verdade ou mentira?  
O vídeo é uma junção de 2 partes distintas, que foram juntadas de forma a induzir a audiência a acreditar que trata-se de um mesmo assunto. Vamos explicar cada uma delas.
1 – policiais atirando em manifestantes
Esse vídeo não foi gravado em 2021, não foi gravado em Cuba e tampouco as cenas são reais!
Uma busca reversa pelas imagens e encontramos publicações do mesmo vídeo em dezembro de 2019, no Twitter. Na época, o vídeo correu como se fosse real e postagens afirmavam que essa covardia contra o povo teria ocorrido em uma universidade na Índia:
A verdade mesmo é que o vídeo é uma simulação policial, 
um treinamento feito com voluntários no estado indiano de Jarcanda, em 2017
, e não teve nenhum ferido.
- Publicidade -
Essa checagem feita pelo site AltNews
 tem mais detalhes sobre o assunto.
Nesse vídeo, é possível ver o treinamento de outro ângulo:
2 – Lula minimizando os protestos e as mortes em Cuba
Se o vídeo dos policiais atirando em civis não tem relação com Cuba, já podemos deduzir que o ex-presidente Lula não estava se referindo daquele fato específico. Mas como saber qual o contexto desse trecho da tal live com o petista?
As falas de Lula foram tiradas de uma entrevista que ele concedeu à Rádio Bandeirantes no dia 13 de julho de 2021. Na entrevista, quando perguntado sobre a situação de Cuba, Lula chama os protestos de “passeatas” e acusa o governo norte-americano de ser um dos responsáveis pela miséria na ilha comandada pelo regime comunista.
Podemos ver o trecho em questão aos 15 minutos do vídeo abaixo:
Conclusão
- Publicidade -"
http://www.e-farsas.com/o-onibus-com-a-comitiva-do-lula-acabou-de-ser-expulso-pelo-povo-de-itanagra-na-bahia.html,"O ônibus com a comitiva do Lula acabou de ser expulso pelo povo de Itanagra, na Bahia?",Falso,2021-05-29,"
- Publicidade -
O vídeo tem menos de um minuto de duração e começou a se espalhar através de grupos de WhatsApp e também nas redes sociais no final de maio de 2021. Nele podemos ver um ônibus acompanhado por várias pessoas aos gritos de “Lula, Ladrão!” e outros xingamentos.
De acordo com o texto que acompanha o vídeo, o flagrante teria acabado de acontecer na cidade de Itanagra, na Bahia, e que o povo estaria expulsando o político ex-presidiário com violência.
Em 
apenas uma das publicações feitas no YouTube
, o vídeo já havia sido visto quase 200 mil vezes em 48 horas, mas será que essa história é verdadeira ou falsa?
Verdade ou mentira?
O vídeo é real, mas o fato não aconteceu em maio de 2021 e tampouco foi filmado na Bahia!
A 
última vez que Lula esteve na Bahia foi em novembro de 2019
, poucos dias após sair da prisão (onde ficou preso por mais de 500 dias). Na ocasião, o ex-presidente foi participar do Festival Lula Livre com apoiadores e também participou de encontro com membros do 
diretório nacional do Partido dos Trabalhadores
.
No dia 27 de maio de 2021, 
Lula estava em Diadema (SP),
 onde se reuniu com membros de uma cooperativa.
Quanto ao vídeo que se espalhou como sendo de maio de 2021, na Bahia, trata-se de um fato ocorrido em março de 2018, quando o político e sua comitiva passava pela cidade de São Vicente do Sul (RS) e encontrou manifestantes contrários ao político no caminho. O 
MBL publicou o momento da manifestação em março de 2018
 no seu perfil do Facebook.
- Publicidade -
Diferente do que foi espalhado em maio de 2021, Lula não foi expulso da cidade. Como 
mostram reportagens daquela época
, o petista foi recebido com vaias e também com festa.
Políticos ajudaram a disseminar a desinformação, como o deputado federal Eduardo Bolsonaro, que retuitou uma postagem feita por um perfil chamado “Mulher Morcego” no Twitter:
Conclusão
- Publicidade -"
http://www.e-farsas.com/a-operacao-lava-jato-caiu-numa-fake-news-envolvendo-lula-e-um-crucifixo.html,A Operação Lava Jato caiu numa fake news envolvendo Lula e um crucifixo!,Falso,2021-03-13,"
- Publicidade -
No dia 9 de março de 2016, o procurador da República Deltan Dallagnol ajudou a mobilizar 200 policiais federais e 30 auditores da Receita Federal para o cumprimento de 33 mandados de busca e apreensão e 11 de condução coercitiva. Os objetivos da megaoperação eram recuperar um objeto de decoração religioso que Lula – segundo “investigação” da Lava Jato – teria roubado de seu gabinete ao deixar a presidência e prender o ex-presidente em flagrante pelo roubo da peça.
O objeto, um crucifixo de cerca de 1,5m de altura, todo esculpido em madeira, teria sido roubado por Lula quando ele deixou a presidência, em 2011.
Acontece que todo o trabalho envolvendo a busca pelo suposto fruto do roubo se baseou em uma fake news, em uma mentira espalhada na web, pois o crucifixo era do próprio Lula!
Entenda o caso, aqui no E-farsas:
Fake News caríssima
Deltan Dallagnol se baseou em um boato digital que se espalhou na web em 2016, que afirmava que Lula teria roubado um crucifixo do gabinete presidencial ao deixar o cargo, em 2011. Só que o que a força-tarefa da Lava Jato, que envolveu 200 policiais federais e 30 auditores da Receita Federal, não averiguou – antes de gastar mais dinheiro do contribuinte à toa – que a peça religiosa já era do Lula antes dele ser eleito!
De acordo com 
reportagens da época
, a obra entalhada em madeira foi de propriedade do bispo de Duque de Caxias, Monsenhor Mauro Morelli, que a colocou à venda e foi adquirida pelo empresário José Alberto de Camargo R$ 60 mil.
A imagem sagrada do Jesus crucificado foi dada então de presente ao amigo Lula, que o levou ao Planalto quando venceu as eleições presidenciais pela primeira vez, em 2003.
Voltando a esse trabalho desastroso da Lava Jato, 
mensagens trocadas entre procuradores e coordenadores da força-tarefa
 mostram que o objetivo era o de prender em flagrante o ex-presidente Lula pelo roubo da peça, visto que “de acordo com publicações da internet”, o crucifixo já estava no gabinete da presidência desde o mandato de Itamar Franco (como podemos ver na foto abaixo, usada como “prova”):
- Publicidade -
Aqui, um dos trechos da conversa entre coordenadores da Lava Jato:
Após o deslocamento das centenas de policiais e do trabalho de inúmeros outros funcionários públicos (operação essa 
que teve até um cofre do Banco do Brasil aberto após mandado judicial
, algum dos investigadores teve excelente a ideia de procurar na internet algo sobre o tal crucifixo em sites mais confiáveis. 
Uma matéria do site da revista Época
, publicada em 2011, acabou com a megaoperação:
Nessa outra reportagem da Época
, também de 2011, é mostrado que Lula recebeu mais de 8.000 presentes.
Mas e as fotos do crucifixo com um presidente antes de Lula?
Se o crucifixo foi um presente levado por Lula quando tomou posse em 2003, como explicar o objeto junto com presidentes antes dele?
Para responder a essa pergunta, basta uma simples busca no Google. A foto em questão foi tirada no dia 12 de maio de 2006,
 quando o ex-presidente Itamar Franco visitou o então presidente em exercício, o senador Renan Calheiros
, no gabinete presidencial. 
Ou seja, era o Itamar que estava na foto na época do crucifixo e não o crucifixo que estava na foto na época de Itamar Franco (que foi presidente entre 1992 e 1995).
Outros supostos “roubos” do Lula
Em março de 2016, desmentimos aqui no E-farsas uma notícia que havia sido bastante compartilhada na ocasião. De acordo com a desinformação, a Polícia Federal teria encontrado um faqueiro de ouro em um cofre no Banco do Brasil em nome do ex-presidente Lula. O que espalharam foi que Lula havia roubado o faqueiro de valor inestimável e que o conjunto teria sido dado pela Rainha da Inglaterra como um presente ao então presidente do Brasil Costa e Silva.
Como apuramos na ocasião
, a história era completamente falsa! O tal faqueiro sequer aparece entre os itens apreendidos na operação desastrosa da Lava Jato (que visava encontrar o crucifixo e usar a peça como prova para prender Lula). 
Você pode conferir a lista dos itens apreendidos aqui
.
A foto do faqueiro, usada para espalhar a fake news, foi tirada de uma publicação de 2009 de um site de leilões:
Em 2018, surgiu outra peça de desinformação nas redes sociais e em grupos do WhatsApp envolvendo o nome do ex-presidente Lula e supostos itens roubados por ele. Em fevereiro daquele ano, 
checamos que a notícia que afirmava que a Polícia Federal teria encontrado no sítio de um amigo do Lula um cofre maior do que uma piscina cheio de pertences roubados pelo petista era falsa!
 
Conclusão
- Publicidade -"
http://www.e-farsas.com/o-stf-proibiu-que-bolsonaro-tivesse-acesso-as-mensagens-dos-celulares-de-adelio-bispo.html,O STF proibiu que Bolsonaro tivesse acesso às mensagens dos celulares de Adélio Bispo?,Falso,2021-02-13,"
- Publicidade -
A afirmação surgiu nas redes sociais, em diversos sites e blogs, e também em grupos do WhatsApp, na segunda semana de fevereiro de 2021, logo após a decisão do STF de liberar as mensagens da Operação Lava Jato aos advogados do ex-presidente Lula, no dia 09 de fevereiro. De acordo com o texto compartilhado, o Supremo teria permitido o acesso às mensagens da Lava Jato, mas esse mesmo STF teria proibido a Defesa de Bolsonaro de saber o que havia nos aparelhos celulares de Adélio Bispo – acusado de esfaquear o então candidato à Presidência Jair Bolsonaro, em setembro de 2018.
A publicação dá a entender que os ministros do Supremo são imparciais, pois deram ao Lula algo que teriam negado ao Bolsonaro anos antes!
Será que isso é verdade ou mentira?
Verdade ou mentira?
A decisão da Segunda Turma da corte do STF de liberar aos advogados de defesa de Lula todo o conteúdo das mensagens trocadas entre integrantes da operação Lava Jato foi selada no dia 09 de fevereiro de 2021, por 4 votos a um. A decisão do dia 09 manteve autorização anterior, dada pelo ministro Ricardo Lewandowski em dezembro 2020, mas fez com que uma série de desinformação começasse a se espalhar pela web.
Nesse caso específico, o que se espalhou foi que o Supremo Tribunal Federal não teria dado o mesmo veredito quando o assunto foi a liberação ou não do conteúdo dos celulares de Adélio Bispo, preso após esfaquear o então candidato à Presidência Jair Bolsonaro.
Acontece que essa afirmação é falsa! Diferente do que o texto espalhado afirma, a defesa de Bolsonaro teve acesso às mensagens de Adélio. 
A juíza da 2ª Vara Federal de Juiz de Fora Patrícia Alencar Teixeira de Carvalho autorizou, no dia 07 de setembro de 2018 (um dia após o atentado contra Bolsonaro) a
 quebra do sigilo do notebook e de mais 4 aparelhos celulares de Adélio Bispo
.
Em julho de 2019, 
a defesa de Jair Bolsonaro perdeu o último prazo para recorrer da decisão que absolveu Adélio Bispo
 da agressão por considerá-lo inimputável. Em nota, a 3.ª Vara Federal da Justiça Federal em Juiz de Fora afirmou que a sentença transitou em julgado:
“[..] a sentença foi proferida em 14 de junho de 2019. O Ministério Público Federal foi intimado em 17 de junho de 2019 e não apresentou recurso. O Excelentíssimo Senhor Presidente da República, que atuou na ação penal como assistente da acusação, foi intimado em 28 de junho de 2019 e também não recorreu no prazo legal. Por último, a defesa de Adélio Bispo de Oliveira, intimada da sentença, renunciou ao prazo recursal em 12 de julho de 2019”. Assim, diz a nota, “a sentença transitou em julgado em 12 de julho de 2019, não sendo mais cabível a interposição de qualquer recurso”.
Caso semelhante de dezembro de 2020
- Publicidade -
Como já mostramos aqui no E-farsas diversas vezes, os “criadores de fake news” parecem possuir um método de trabalho que na maioria das vezes repetem alguns padrões.
Como exemplo, citamos uma checagem que fizemos em dezembro de 2020, quando o Supremo Tribunal Federal decidiu que a vacinação contra o novo coronavírus pode ser obrigatória.
Logo após a decisão, proferida no dia 17 de dezembro de 2020 (por 10 votos a 1), surgiram publicações nas redes sociais afirmando que 
o STF teria considerado inconstitucional a obrigatoriedade de se vacinar os imigrantes venezuelanos que chegavam ao Brasil
 2 anos atrás.
Mostramos que essa “notícia” é falsa e que a vacinação é obrigatória no Brasil desde 1904.
Nesse exemplo, o teor do texto compartilhados é diferente, mas o alvo é o mesmo: o STF. Em ambas mensagens, o objetivo é desmoralizar e descredibilizar a instituição através de fake news, mostrando – com argumentos falsos – que o Supremo seria incoerente e partidário.
Conclusão
- Publicidade -"
http://www.e-farsas.com/joao-doria-e-o-filho-do-lula-sao-socios-na-vacina-da-sinovac.html,João Doria e o filho do Lula são sócios na vacina da Sinovac?,Falso,2021-09-02,"
- Publicidade -
A denúncia surgiu em grupos do WhatsApp e em demais redes sociais na segunda quinzena de janeiro de 2021 e ganhou força através de compartilhamentos no mês seguinte. 
De acordo com o texto, o inquérito número n° 20221345 da Polícia Federal teria descoberto que que a empresa farmacêutica Sinovac Biotech Ltd teria vendido 20% das suas ações ao governador João Doria e ao filho do ex-presidente Lula meses antes de assinar um acordo com o Governo do Estado de São Paulo e o Instituto Butantan.
A denúncia ainda afirma que essas ações teriam custado R$ 100 milhões de reais na época e que agora com a popularização da vacina desse laboratório, os papéis se transformaram em 1,5 bilhão de reais. 
Será que isso é verdade ou mentira?
Verdade ou mentira?
O primeiro passo que tomamos ao receber essa corrente foi 
consultar o inquérito citado no site da Polícia Federal
. Estranhamente, o inquérito n° 20221345 não foi encontrado.
Apenas com essa simples consulta, já podíamos marcar essa história como falsa, mas vamos fazer mais algumas pesquisas apenas para mostrar como é fácil checar esse tipo de texto. Próximo passo: ações da Sinovac.
Os negócios dessa empresa estão abertos 
para quem quiser consultar, como por exemplo, quem são os maiores acionistas do laboratório. No recorte abaixo, podemos verificar que 
a maior acionista da Sinovac é a norte-americana Globe1
, com 26% das ações. Em segundo lugar, temos a SAIF Advisors Ltd, com 15% das ações:
- Publicidade -
Partindo desses dados, podemos averiguar que:
Nenhuma empresa ou pessoa física do Brasil está entre os acionistas da Sinovac;
Não tem nenhum sócio com 20% das ações do laboratório chinês;
Valor de mercado X Ações
De acordo com
 levantamento da Macrotrends,
 empresa especializada em números empresariais, a Sinovac tinha um valor de mercado de cerca de 640 milhões de dólares (algo em torno de R$ 3,4 bilhões). Ou seja, 20% das ações da Sinovac valem por volta de R$ 650 milhões e não 1,5 bilhões como é afirmado na corrente.
As 
ações da Sinovac
 foram cotadas no dia da publicação desta nossa checagem (09/02/2021) a U$6,47 (R$38), em um total de U$ 28 milhões – cerca de R$ 150 milhões na cotação de hoje. 20% de 150 milhões dá “apenas” R$ 30 milhões. 
Ou seja, mesmo quem tem 20% das ações da Sinovac não tem R$1,5 bilhão!
Será que eles não compraram escondido?
Quem compartilha correntes como essa ainda pode alegar que o governador de São Paulo e o “filho do Lula” poderiam ter conseguido esconder seus nomes nas negociações, de modo que ninguém descobrisse (esse autor anônimo em um grupo de WhatsApp seria muito mais investigativo que todas as polícias juntas, pois descobriu um esquema que ninguém havia descoberto), mas isso é impossível e explicamos o porquê.
O motivo é simples: 
por causa de uma disputa na Justiça entre os sócios da Sinovac
, as ações do laboratório chinês estão congeladas desde fevereiro de 2019 e não podiam ser negociadas até 
. As ações ainda estavam congeladas quando os acordos entre o Governo de São Paulo e a Sinovac foram assinados!
Um 
acordo de parceria entre a Sinovac e o Instituto Butantan 
para o início de testes de uma vacina contra a COVID-19 foi assinado em junho de 2020. Em setembro, 
o Butantan assinou um contrato para a compra de 46 milhões de doses da vacina da Sinovac
 e em janeiro do ano seguinte, a Anvisa (Agência Nacional de Vigilância Sanitária) aprovou o uso emergencial do imunizante no Brasil.
O “filho do Lula”
Boatos envolvendo a entidade “filho do Lula” se espalham pela web há anos! Em novembro de 2019, fizemos um vídeo a respeito, mostrando quais acusações são verdadeiras e quais são falsas:
Conclusão
- Publicidade -"
http://www.e-farsas.com/vote-em-casa-e-falso-que-o-governo-federal-permitiu-a-votacao-atraves-do-celular.html,“Vote em Casa”? É falso que o Governo Federal permitiu a votação através do celular!,Falso,2020-11-11,"
- Publicidade -
- Publicidade -
- Publicidade -"
http://www.e-farsas.com/video-mostra-uma-lula-gigante-capturada-por-um-homem.html,Vídeo mostra uma lula gigante capturada por um homem?,Verdadeiro,2020-10-18,"
- Publicidade -
- Publicidade -
- Publicidade -"
http://www.e-farsas.com/foto-mostra-jair-bolsonaro-segurando-um-cartaz-de-apoio-a-lula.html,Foto mostra Jair Bolsonaro segurando um cartaz de apoio a Lula?,Verdadeiro,2020-09-26,"
- Publicidade -
- Publicidade -
—
- Publicidade -"
