textos,contagem
coronavírus,501
covid-19,437
verdade,424
vacina,318
texto,259
pessoas,250
sociais,243
saúde,241
redes,239
publicação,187
brasil,180
artigo,179
vírus,169
estudo,157
caso,157
mentira,156
imagem,151
acordo,142
publicado,137
falso,130
segundo,129
história,129
facebook,126
doença,125
abril,125
chamado,123
pandemia,122
mundo,121
casos,120
grupos,119
presidente,116
pacientes,116
qualquer,115
fotos,114
são,114
entanto,111
vacinas,110
milhões,108
abaixo,106
whatsapp,106
março,106
bolsonaro,104
e-farsas,104
notícia,103
durante,103
paulo,101
encontramos,101
falsa,98
cerca,98
maio,95
cidade,93
podemos,91
jornal,91
china,90
dias,89
governo,88
estado,88
gripe,88
$,87
país,87
verdadeiro,86
para,86
janeiro,86
imagens,86
portanto,85
tratamento,85
publicada,84
isso,83
federal,83
informação,83
notícias,82
twitter,82
afirma,81
essa,81
tempo,81
dados,80
como,80
nota,79
além,78
hospital,77
página,77
vacinação,77
uma,77
perfil,76
realmente,76
máscaras,74
publicações,74
the,73
trecho,73
ministério,71
estudos,71
somente,70
fake,69
arquivo,69
médico,68
homem,68
chamada,67
semana,67
empresa,66
dezembro,66
jair,66
@,65
cloroquina,65
então,65
testes,65
fato,65
mortes,65
começou,64
respeito,63
r,63
assunto,63
mulher,63
polícia,63
real,62
espalhou,62
por,62
episódio,62
junho,60
falsas,60
fevereiro,60
vamos,60
agência,60
morte,59
compartilhado,59
contato,59
sites,59
covid,59
surgiu,58
dr.,58
visto,57
pessoa,57
aparece,57
água,57
sars-cov-2,56
espalhar,56
casa,56
estados,56
revista,55
mundial,55
tipo,55
prova,55
vítimas,54
news,54
claro,54
profissionais,53
filho,53
importante,53
’,52
já,52
unidos,52
humanos,52
estaria,51
descubra,51
publicou,51
in,51
população,50
origem,50
assim,50
usar,50
compartilhada,49
busca,49
entretanto,49
pesquisa,49
evitar,49
reportagem,49
crianças,49
época,49
coronavirus,48
documento,48
oficial,48
inclusive,47
julho,47
-é,47
ministro,47
devido,46
matéria,46
exame,46
risco,45
contudo,45
corpo,45
esse,45
original,45
setembro,45
máscara,45
oms,45
diversos,45
série,45
morreu,44
positivo,44
confira,44
tirada,44
usando,44
gatos,44
possui,44
eis,44
segurança,44
ao,44
se,43
contexto,43
novembro,43
versões,43
animais,42
paciente,42
of,42
surto,42
infecção,42
suposta,42
web,42
usuário,41
países,41
pfizer,41
embora,41
início,41
acompanha,40
causa,40
científica,40
laboratório,40
‘,40
quinzena,40
conta,40
la,40
social,39
afirmação,39
prefeitura,39
recente,39
mãos,39
narrativa,39
mortos,39
gates,39
mencionado,39
ficou,38
desinformação,38
pra,38
epidemia,38
divulgado,38
agosto,38
médica,37
envolvendo,37
imprensa,37
eficácia,37
sintomas,37
efeito,37
aliás,37
quase,37
lista,36
canal,36
…,36
resposta,36
campanha,36
[,36
tuíte,36
ação,36
portal,36
passou,36
afirmando,36
],36
chineses,36
existe,36
medicamento,36
investigação,35
nesse,35
morador,35
reais,35
doenças,35
células,35
resultado,35
bill,35
checagem,35
entrevista,35
seguir,34
doses,34
interessante,34
tais,34
quem,34
nacional,34
verdadeira,34
ocorreu,34
teste,34
mostrar,34
outubro,34
vida,34
medidas,34
áudio,34
evento,34
cena,33
medicamentos,33
pesquisadores,33
vídeos,33
destacar,33
melhor,33
diversas,33
paralisia,33
universidade,32
trata-se,32
william,32
instagram,32
jornalista,32
tomar,32
autoridades,32
globo,32
hidroxicloroquina,32
apesar,32
cuba,32
causar,32
aconteceu,31
youtube,31
peste,31
várias,31
instituto,31
quarentena,31
brasileiro,31
rede,31
combate,31
ar,31
doutor,31
período,31
ficar,31
secretaria,30
reprodução/whatsapp,30
também,30
razão,30
conforme,30
menção,30
moradores,30
diretor,30
receber,30
pesquisas,30
tesla,30
