palavras,repeticoes
verdade,201
vacina,188
covid-19,187
coronavírus,180
sociais,132
redes,127
mentira,120
saúde,98
acordo,93
vacinas,78
vírus,74
presidente,70
brasil,69
pessoas,67
março,67
abril,67
governo,66
podemos,66
grupos,65
whatsapp,62
$,60
milhões,59
publicação,58
cidade,56
doença,55
afirma,55
imagem,55
casos,54
país,52
maio,51
imagens,51
cerca,50
pacientes,49
entanto,49
história,47
janeiro,47
jornal,46
notícia,46
respeito,46
bolsonaro,45
encontramos,45
mortes,45
federal,45
caso,44
tratamento,43
mundo,43
como,43
dados,43
são,42
abaixo,42
surgiu,42
empresa,42
vacinação,42
falsa,41
paulo,41
dias,41
compartilhado,40
nota,39
espalhar,39
r,39
dezembro,39
começou,39
segundo,38
facebook,38
espalhou,37
semana,37
publicações,37
além,37
reportagem,37
covid,36
coronavirus,36
testes,36
vítimas,35
twitter,35
estados,35
pandemia,34
estudo,34
notícias,34
quinzena,34
busca,34
publicado,34
unidos,34
ministério,33
real,33
doutor,33
jair,33
homem,32
tempo,32
documento,32
cloroquina,32
falsas,31
fotos,31
sites,31
fato,31
estudos,31
gripe,30
pfizer,30
médico,29
células,29
publicou,28
china,28
crianças,27
essa,27
fevereiro,27
setembro,27
[,27
prova,27
hospital,27
polícia,27
mundial,27
],27
artigo,27
e-farsas,26
acompanha,26
estado,26
agência,26
gates,26
afirmando,26
afirmação,26
cuba,26
junho,25
caixões,25
compartilhada,25
uma,25
social,25
água,25
receber,24
ministro,24
lista,24
visto,24
matéria,24
morte,24
fake,24
prefeitura,24
apesar,24
qualquer,24
laboratório,24
vacinados,23
tipo,23
durante,23
assunto,23
morreu,23
novembro,23
causa,23
países,23
perfil,22
chamada,22
agulha,22
bill,22
outubro,22
pra,22
quase,22
segurança,22
vamos,22
mulher,22
filme,22
ator,21
hidroxicloroquina,21
filho,21
…,21
seguir,21
várias,21
estaria,21
medicamento,21
então,20
ações,20
aparece,20
população,20
decorrência,20
epidemia,20
web,20
explicou,20
autoridades,20
salário,20
imunizante,19
inteligência,19
seguinte,19
pessoa,19
chamado,19
por,19
ou,19
prêmio,19
rede,19
diversos,19
julho,19
informação,19
começaram,19
existe,19
mínimo,18
reais,18
juntamente,18
estariam,18
diferentes,18
maiores,18
máscara,18
vazios,18
ficar,18
passou,18
dentre,18
seringa,18
para,18
fase,18
the,18
ao,18
trecho,18
força,18
nacional,17
amazonas,17
humanos,17
importante,17
números,17
livro,17
corpo,17
eficácia,17
episódio,17
rio,17
desinformação,17
artificial,17
news,16
ocasião,16
criado,16
portanto,16
medicamentos,16
blogs,16
suposta,16
organização,16
possui,16
dr.,16
já,16
’,16
entidade,16
‘,16
entrevista,16
sinovac,16
universidade,16
envolvendo,16
mortos,16
york,16
isso,16
zelenko,16
recebeu,15
ficou,15
morreram,15
imunização,15
enfermeira,15
afirmar,15
trata-se,15
conteúdo,15
ocorrido,15
doses,15
base,15
oferta,15
acontece,15
ivermectina,15
políticos,15
positivo,15
cientistas,15
usando,15
oxigênio,15
picada,15
cura,14
oficiais,14
única,14
idade,14
forças,14
globo,14
times,14
época,14
publicada,14
profissionais,14
versão,14
atualmente,14
plano,14
se,14
investigações,14
sars-cov-2,14
mas,14
risco,14
brasileira,14
descoberta,14
atriz,14
conforme,13
órgãos,13
variante,13
valor,13
entender,13
combate,13
nesse,13
citado,13
especialistas,13
reino,13
inglês,13
surto,13
página,13
torno,13
alguns,13
explicando,13
oms,13
semanas,13
evitar,13
fica,13
eua,13
doenças,13
realmente,13
medidas,13
unido,13
usado,13
nobel,13
diretor,13
manaus,13
teorias,13
fundação,13
político,13
trimestre,13
nestlé,13
cnn,13
investigação,12
brincadeira,12
motivo,12
resumo,12
científica,12
paciente,12
criar,12
francês,12
cenas,12
corrente,12
corpos,12
autor,12
novamente,12
espalharam,12
claro,12
quem,12
uti,12
atenção,12
efeitos,12
fizemos,12
deu,12
mídia,12
usar,12
chip,12
milhão,12
esse,12
precoce,12
agosto,12
casa,12
produto,12
us,12
versões,12
chama,12
gustavo,12
postagem,12
vacinado,12
portal,12
parceria,12
h1n1,12
público,11
explica,11
distanciamento,11
dose,11
usada,11
doutora,11
tomar,11
sequer,11
pesquisas,11
apresentado,11
iria,11
desenvolvimento,11
previsão,11
new,11
perfis,11
tirada,11
simples,11
google,11
máscaras,11
denúncia,11
circulou,11
medida,11
campanha,11
série,11
resultado,11
pesquisadores,11
significa,11
menção,11
chinês,11
romance,11
mrna,11
pública,11
policiais,11
produtos,11
rainha,11
prevenção,11
instituto,11
trata,11
recebendo,11
diversas,11
afirmações,11
empresas,11
infecção,11
braço,11
diferente,11
manifestantes,11
governador,11
departamento,11
povo,11
óbitos,11
produção,11
sintomas,10
aids,10
entrevistas,10
eventos,10
dólares,10
contrato,10
show,10
norte-americano,10
controle,10
detalhe,10
nóis,10
bbc,10
anvisa,10
original,10
u,10
torniquete,10
quinino,10
canal,10
causar,10
justiça,10
assuntos,10
nessa,10
vítima,10
aplicação,10
lourenço,10
lei,10
boato,10
afirmou,10
droga,10
irá,10
também,10
ocorreu,10
resposta,10
protocolo,10
medicina,10
recebido,10
cena,10
vídeos,10
of,10
trump,10
link,10
conta,10
descoberto,10
devido,10
aumento,10
proxalutamida,10
brasileiros,10
armadas,10
gibraltar,10
habitantes,10
moro,9
revista,9
sputnik,9
somente,9
personagem,9
vagão,9
voltou,9
milhares,9
ilha,9
médica,9
deus,9
origem,9
taxa,9
pele,9
serem,9
remédios,9
usuário,9
diferença,9
coronavac,9
índia,9
discurso,9
teoria,9
câncer,9
autores,9
bilhões,9
lula,9
vida,9
doação,9
mostram,9
montagem,9
ar,9
organismo,9
ajuda,9
pesquisa,9
problemas,9
haviam,9
mostramos,9
quantidade,9
programa,9
tomando,9
sangue,9
"1,5",9
falou,9
frente,9
contato,9
teste,9
regras,9
prefeito,9
oficial,9
pedido,9
baixa,9
alegação,9
reuters,9
inclusive,9
amostras,9
circulam,9
outro,9
quanto,9
boletim,9
israel,9
compra,9
presente,9
remédio,9
carlos,9
cpi,9
evento,9
membros,9
shopping,9
cobras,9
tônica,9
pôster,9
caixão,8
defesa,8
perceba,8
alerta,8
afirmado,8
registro,8
leite,8
x,8
conspiratórias,8
conspiração,8
ciência,8
acabar,8
fases,8
aconteceu,8
deixou,8
itália,8
longo,8
moderna,8
donald,8
médicos,8
efeito,8
dia,8
começo,8
possíveis,8
divulgou,8
líquida,8
humanidade,8
fonte,8
procuramos,8
início,8
aplicada,8
antiga,8
atual,8
preso,8
suposto,8
eu,8
amplamente,8
linha,8
edição,8
venda,8
quarentena,8
checagem,8
criada,8
conhecido,8
espalhado,8
isolamento,8
clínico,8
contágio,8
paz,8
gravado,8
explicado,8
conselho,8
v,8
túnel,8
foi,8
usadas,8
player,8
único,8
morrido,8
adélio,8
boatos,8
acidente,8
outra,8
internacional,8
período,8
jesus,8
centro,8
mãos,8
essas,7
brasileiro,7
pesquisador,7
região,7
perigo,7
comunidade,7
hipótese,7
segredo,7
circula,7
cultura,7
aérea,7
paralisia,7
compartilhadas,7
situação,7
antes,7
bell,7
logo,7
apresenta,7
criança,7
proteção,7
relacionado,7
verificar,7
diário,7
josé,7
entrada,7
fala,7
comitê,7
postagens,7
previsões,7
nova,7
refere,7
descobrir,7
enorme,7
daí,7
preciso,7
laboratórios,7
malone,7
assistir,7
mãe,7
sucesso,7
mostrado,7
buscas,7
cara,7
óbito,7
falamos,7
vivo,7
locais,7
usou,7
bíblia,7
escrito,7
fatos,7
emergencial,7
desenvolvida,7
minutos,7
inquérito,7
errado,7
manchete,7
youtube,7
completa,7
chão,7
mais,7
aliás,7
multa,7
checagens,7
charles,7
aumentar,7
indica,7
entrega,7
regional,7
ganhou,7
compartilhamentos,7
butantan,7
registrado,7
economia,7
ainda,7
mostrar,7
festa,7
descobrimos,7
sul,7
argentina,7
malária,7
@,7
colocar,7
sociedade,7
inventou,7
mortalidade,7
variantes,7
decisão,7
e/ou,7
saber,7
bilhão,7
virologista,7
certo,7
exames,7
objetivo,7
total,7
valores,7
legal,7
quinina,7
moça,7
poderá,7
indonésia,7
processo,7
trás,7
secretaria,7
circular,7
arma,7
loja,7
sanitário,7
la,7
passaporte,7
recordes,7
chapecó,7
volta,6
imunizados,6
características,6
capital,6
denúncias,6
cientista,6
documentos,6
gilmar,6
causado,6
lopes,6
falar,6
motos,6
cobra,6
operação,6
flagrante,6
anticorpos,6
ajudar,6
graves,6
fetos,6
desenvolver,6
mostrou,6
previsto,6
íntegra,6
ouviu,6
proteger,6
azitromicina,6
infectados,6
enfermeiro,6
campo,6
sergio,6
moradores,6
diasporatürk,6
nunca,6
né,6
compartilhar,6
comunicação,6
reversa,6
televisão,6
dúvidas,6
ação,6
and,6
delta,6
rua,6
tiradas,6
verdadeira,6
motivos,6
inúmeros,6
drogas,6
jornais,6
apuramos,6
norte-americana,6
derivada,6
seguida,6
deixar,6
natal,6
semelhantes,6
ordem,6
avião,6
deitado,6
eduardo,6
completamente,6
beber,6
colagem,6
dinheiro,6
joão,6
surgisphere,6
atores,6
melhor,6
vladimir,6
tomou,6
áudio,6
jornalista,6
grave,6
causador,6
divina,6
aparecer,6
letras,6
centenas,6
morto,6
acredita,6
complicações,6
fictício,6
civil,6
agências,6
resultados,6
seringas,6
vacinada,6
entrou,6
descobriu,6
mesmo,6
ex-presidente,6
disponível,6
prédio,6
chegou,6
terem,6
especificamente,6
gravação,6
casé,6
imprensa,6
política,6
comediante,6
regina,6
morrer,6
cemitério,6
declarações,6
vacuna,6
relações,6
cita,6
responsável,6
contaminado,6
artista,6
incluindo,6
johnson,6
funcionários,6
caixas,6
enquanto,6
instagram,6
citados,6
condensado,6
quadro,6
fabricante,6
leva,6
apurado,6
internado,6
afirmava,6
reação,6
material,6
termo,6
digital,6
votação,6
clínica,6
blog,6
tribunal,6
estadual,6
prática,6
academia,6
nostradamus,6
leitos,6
indiano,6
menina,5
analisando,5
guido,5
testou,5
realizados,5
porta-voz,5
nomes,5
zinco,5
tentar,5
dado,5
abrir,5
recentemente,5
desmentimos,5
livros,5
aqui,5
diretrizes,5
sol,5
supostamente,5
internacionais,5
mônica,5
quando,5
grafeno,5
alvo,5
semelhante,5
filha,5
vazio,5
punição,5
humorista,5
litzman,5
dra,5
viu,5
propaganda,5
cadeia,5
calendário,5
dizendo,5
apresentação,5
swaminathan,5
disseminação,5
boletins,5
passa,5
provas,5
tratar,5
manter,5
composto,5
afinal,5
erros,5
pagar,5
filmagem,5
chances,5
espalhando,5
lembrar,5
imunizado,5
vice-presidente,5
família,5
filmes,5
principais,5
cuja,5
detalhes,5
passar,5
apareceu,5
crime,5
indicados,5
reúne,5
ouvir,5
serviços,5
dando,5
gestão,5
conhecida,5
projeto,5
conversa,5
aparecem,5
públicas,5
participação,5
hospitais,5
associação,5
utilizada,5
india,5
5g,5
confirmou,5
cujo,5
emitiu,5
lembra,5
multas,5
graças,5
volkswagen,5
conseguido,5
suína,5
companhia,5
fatais,5
conjunto,5
precisa,5
possa,5
bairro,5
lançado,5
brasileiras,5
teor,5
madureira,5
assim,5
guinness,5
nele,5
lieber,5
atividades,5
explicar,5
segundos,5
vendido,5
clinton,5
duração,5
república,5
comer,5
registrados,5
mudar,5
prisão,5
dispositivo,5
biotecnologia,5
mercado,5
resolveu,5
s,5
mortas,5
registrou,5
devemos,5
deputado,5
agora,5
tratava,5
motociata,5
substância,5
roupas,5
plataforma,5
necrotério,5
adotar,5
celular,5
tv,5
biólogo,5
cidadão,5
código,5
aos,5
center,5
trabalhadores,5
data,5
massa,5
contaminados,5
possuem,5
imunizantes,5
média,5
recorte,5
reportagens,5
clínicos,5
biotech,5
falso,5
fraude,5
origens,5
