textos,contagem
comorbidades,3331
homem,3195
hospital,2693
mulher,2323
covid-19,1574
fake,1458
casos,1376
veja,1366
coronavírus,1335
mortes,1281
saúde,1267
pessoas,918
comorbidade,872
fato,844
curas,840
redes,823
santa,822
vacina,803
falsa,796
sociais,788
vírus,663
presidente,640
estado,629
pandemia,628
doença,615
casa,599
petrolina,582
bolsonaro,579
brasil,572
são,548
federal,531
região,529
equipe,525
internado,504
news,500
upa,496
vacinas,489
municipal,483
governo,475
afirma,453
identificar,446
checagens,443
pacientes,434
acordo,405
oliveira,396
caso,396
augusto,393
covid,382
ministro,372
internada,370
óbitos,369
país,367
paulo,366
segundo,358
cobertura,353
qualquer,352
ministério,347
vídeos,345
inquérito,337
população,332
falsas,330
municípios,322
whatsapp,302
stf,298
então,297
vacinação,297
dados,295
dias,293
pessoa,291
secretaria,288
durante,280
dose,275
notícias,271
boletim,271
informação,270
nacional,268
mas,264
tribunal,262
máscara,259
uma,259
cidades,259
município,258
social,258
verdade,241
doses,240
máscaras,235
todos,234
moraes,234
mensagens,234
mundo,231
adicionar,228
afirmou,228
decisão,226
supremo,226
estados,223
inscrito,223
mande,222
97305-9827,221
saudação,221
texto,220
fakeadicione,219
medidas,211
imagem,204
paciente,204
jair,203
unidade,203
além,203
início,202
polícia,201
cidade,200
estadual,200
nota,198
público,198
médico,195
hang,194
sp,193
isso,188
registrados,187
explica,185
sintomas,183
brasileira,181
conta,180
março,180
risco,180
universidade,179
transmissão,179
rio,179
variante,179
causa,178
uti,178
janeiro,176
prefeitura,176
tempo,175
confirmações,175
rede,173
eleitoral,172
existe,171
organização,171
proteção,170
anna,169
nova,169
semana,169
registros,168
tratamento,168
imagens,168
lista,167
ouricuri,166
salgueiro,166
araripina,166
para,165
milhões,165
por,165
lei,164
morte,164
segurança,164
registro,163
internet,162
estudo,162
cpi,161
países,161
testes,161
china,158
registraram,158
leitos,157
números,155
tipo,152
eficácia,152
$,152
sociedade,151
empresário,150
estudos,150
disseminação,150
divulgado,149
paraíba,149
velho,148
instituto,148
perguntas,148
medida,147
pública,145
confirmados,144
infecção,144
isolamento,143
alexandre,143
pesquisa,143
respiratória,141
oms,141
investigação,139
direito,138
se,136
anvisa,136
ação,136
contas,135
assistidos,135
inclusive,134
recente,134
r,134
infectados,134
seguida,133
conteúdo,132
busca,130
mundial,130
twitter,129
fala,129
delta,128
agência,128
pfizer,127
já,126
quarta-feira,126
água,126
facebook,126
abaixo,125
até,124
abril,124
total,124
grupos,124
ao,123
professor,123
ar,123
porto,123
médicos,122
pedido,122
especialistas,121
sertão,121
instituições,121
declaração,120
governador,120
maio,119
república,119
ataques,118
eu,117
objetivo,116
liberdade,116
desinformação,116
confira,116
corona,116
empresa,115
combate,115
santos,114
evitar,114
