palavras,repeticoes
vacina,1144
dose,999
saúde,737
vacinação,618
vacinas,601
pessoas,600
covid-19,554
fake,551
veja,442
falsa,355
bolsonaro,354
doses,354
presidente,302
covid,279
fato,275
redes,270
sociais,259
brasil,246
dias,241
pfizer,240
cpi,240
pandemia,237
coronavírus,222
afirma,219
news,219
governo,218
usf,202
são,197
ubs,196
vírus,193
reforço,189
doença,188
equipe,184
população,178
coronavac,170
federal,169
identificar,160
idosos,158
relatório,155
dados,153
pessoa,153
centro,153
aplicação,153
para,152
caso,152
checagens,151
casos,150
8h,146
qualquer,146
prefeitura,146
paulo,141
documento,139
imunização,138
ministério,136
adolescentes,134
profissionais,132
então,129
g1,127
estado,127
acordo,127
vídeos,125
2ª,120
eficácia,118
país,116
vacinados,115
imunizante,115
mortes,113
testes,110
segurança,110
notícias,109
nacional,109
anvisa,107
tomar,105
mensagens,105
falsas,105
segundo,103
social,102
milhões,101
aids,101
whatsapp,100
rua,100
mas,100
durante,100
segunda-feira,100
jair,100
desinformação,100
risco,99
república,99
estudos,99
receber,98
astrazeneca,97
instituto,96
tempo,96
início,95
agendamento,94
além,92
mundo,91
1ª,90
isso,90
universidade,90
informação,90
afirmou,90
receberam,87
comissão,87
verdade,86
uma,86
rio,86
facebook,86
vacinar,86
agência,85
brasileira,85
comprovante,85
única,84
cidade,83
semana,83
butantan,82
anticorpos,82
apresentar,82
estados,82
janeiro,81
tomaram,80
público,80
hospital,80
região,80
tipo,79
youtube,78
doenças,77
12h,77
abaixo,77
medicamentos,77
resposta,77
máscara,77
telefone,76
tomou,76
pedido,75
causa,75
já,75
adicionar,75
conteúdo,75
recebeu,74
totalmente,74
comorbidades,73
vacinadas,73
imunizantes,73
explica,73
morte,72
médico,72
locais,72
nota,71
unidades,71
conta,71
proteção,71
senador,71
necessário,70
inscrito,70
medidas,70
saudação,70
setembro,70
mande,70
fakeadicione,70
fase,69
campanha,69
reino,69
unido,69
acima,68
outubro,68
máscaras,68
tribunal,68
declaração,68
cartão,68
imunidade,68
grupos,68
joão,67
notícia,67
secretaria,66
ar,66
trabalhadores,66
intervalo,66
sp,66
lei,66
casa,65
pacientes,65
processo,65
voos,64
live,64
estudo,64
médica,63
publicação,63
vacinado,63
se,62
rede,62
fala,62
eu,61
células,61
produção,61
por,61
organização,61
crime,61
existe,60
pública,60
imagem,60
ciência,59
proteína,59
tratamento,59
vacinal,59
quem,59
senadores,59
supremo,58
oficial,58
santa,58
família,58
sociedade,58
professor,58
públicos,58
empresa,57
cpf,57
lista,57
pesquisa,57
investigação,57
ação,57
rna,56
vida,56
resultado,56
municipal,56
renan,55
portanto,55
residência,55
stf,55
gripe,55
também,55
unidos,55
aplicada,55
16h,53
especialistas,53
internet,53
quinta-feira,53
política,53
escola,53
oms,53
imagens,53
...,53
$,52
ministro,52
começou,52
graves,52
drive-thru,52
tecnologia,52
mãe,51
imunossuprimidos,51
vigilância,51
ainda,51
postos,51
importante,51
ao,51
falso,51
organismo,51
twitter,51
indígenas,51
aplicadas,50
levar,50
9h,50
grande,50
países,50
desenvolvimento,50
causar,50
canal,50
parque,49
mundial,49
disponível,49
segunda,49
grave,49
terça-feira,49
confira,49
eduardo,49
brasileiros,48
relator,48
transmissão,48
controle,48
‘,48
’,48
alto,48
inclusive,48
eventos,48
total,48
prazo,48
crianças,48
precisa,47
busca,47
oficiais,47
epidemia,47
associação,47
medida,47
junho,47
vila,47
responsável,47
projeto,47
quarta-feira,46
data,46
humanos,46
conforme,46
fakhoury,46
contrato,45
maio,45
crimes,45
maria,45
material,44
essa,44
efeitos,44
sexta-feira,44
leia,44
sul,44
apesar,44
cerca,44
idade,44
jardim,44
r,44
empresas,44
direito,43
preciso,43
esclarece,43
análise,43
moradores,43
sanitária,43
agulha,42
teste,42
perfil,42
técnica,42
autoridades,42
sangue,42
polícia,42
instagram,42
plataforma,42
paciente,41
março,41
ações,41
doria,41
chegou,41
calheiros,41
mentira,41
semanas,41
passado,41
voluntários,41
queda,41
morreu,41
humano,41
china,41
infecção,40
corpo,40
existem,40
acesso,40
quase,40
carlos,40
cadastro,40
vacinada,40
até,40
período,39
profissional,39
legenda,39
médicos,39
dna,39
farmacêutica,39
esquema,39
clínicos,39
assunto,39
],38
laboratório,38
dizendo,38
homem,38
nesta,38
nova,38
vice-presidente,38
agências,38
contato,38
governador,38
série,38
sentido,38
brasileiro,38
17h,38
câmara,38
[,38
14h,38
esse,38
indiciamento,38
aumento,38
ribeirão,37
imune,37
genético,37
história,37
agosto,37
julho,37
josé,36
registro,36
relatórios,36
município,36
científica,36
combate,36
minas,36
decisão,36
boato,36
programa,35
shopping,35
desenvolvida,35
variante,35
atual,35
taxa,35
identidade,35
cidades,35
checagem,35
capital,35
3ª,35
viral,35
respeito,35
problema,35
números,35
contas,35
órgão,35
incitação,34
distribuição,34
distanciamento,34
ou,34
preto,34
falar,34
continua,34
obrigatória,34
sintomas,34
documentos,34
situação,34
afirmação,34
sinovac,34
tomado,34
mostram,33
entanto,33
antivacina,33
serviço,33
povo,33
estadual,33
cruz,33
alerta,33
inquérito,33
neris,33
longo,33
acontece,33
plataformas,33
regras,33
fica,33
carteira,33
câncer,33
reação,33
reforça,32
pede,32
atraso,32
post,32
identificação,32
código,32
parceria,32
roberto,32
internacional,32
link,32
órgãos,32
efeito,32
síndrome,32
precisam,32
quando,32
pátria,32
disponíveis,32
novembro,31
abril,31
dispositivo,31
claro,31
ocorreu,31
responsabilidade,31
prevenção,31
melhor,31
ocorre,31
pai,31
usar,31
várias,31
desde,31
fevereiro,31
diferentes,31
liberdade,31
reportagem,31
vítimas,31
objetivo,31
após,31
base,31
departamento,31
há,31
oxford,31
instituições,31
municípios,31
principais,30
comunidade,30
conteúdos,30
chinesa,30
aponta,30
como,30
cronograma,30
unidade,30
circulam,30
alta,30
especial,30
óbito,30
sequer,30
principalmente,30
ficou,30
ficar,30
avenida,30
936.000,30
1.053.000,30
óbitos,29
realizada,29
contexto,29
teorias,29
informa,29
imunodeficiência,29
pesquisadores,29
lembra,29
imunizados,29
disseminação,29
silva,29
pra,29
mensageiro,29
dezembro,29
quantidade,29
assista,29
deputado,29
políticas,29
compra,29
spike,29
gerais,29
divulgação,29
faixa,29
destaca,29
globo,29
alvo,28
tratar,28
ir,28
senhor,28
infecções,28
graças,28
diversos,28
mulher,28
realmente,28
medicamento,28
ideia,28
atendimento,28
união,28
pediu,28
depoimento,28
junto,28
de,28
vista,28
sars-cov-2,28
gerar,28
defesa,28
chamado,28
eles,27
comunicação,27
senado,27
corrupção,27
orlando,27
infectologista,27
campinas,27
comprovação,27
mais,27
moraes,27
domingo,27
faculdade,27
publicada,27
presença,27
morreram,27
maneira,27
mulheres,27
livre,26
compartilhar,26
científico,26
hiv,26
imprensa,26
declarações,26
investigado,26
aparece,26
publicado,26
pessoal,26
evitar,26
comunicado,26
avaliação,26
instituição,26
usada,26
redução,26
paulista,26
usado,26
braço,25
verdadeira,25
essas,25
bula,25
eua,25
problemas,25
clube,25
entrevista,25
serem,25
prova,25
filhos,25
testada,25
procurado,25
militar,25
sábado,25
frente,25
resultados,25
horário,25
educação,25
investigações,25
diretor,25
puérperas,25
grafeno,25
internacionais,25
tema,25
cobertura,25
nos,25
virologista,25
precoce,25
adversos,25
prevenir,25
causam,24
medicina,24
entrar,24
possam,24
espaços,24
episódio,24
devido,24
divulgado,24
chip,24
negacionismo,24
fundação,24
professora,24
aplicativo,24
dor,24
filho,24
aviso,24
vale,24
proteger,24
todos,24
diretrizes,24
funcionamento,24
cdc,24
mentiras,24
conspiração,24
imunizações,24
entre,24
injeção,24
capaz,24
somente,24
aplicar,24
você,24
variantes,24
gestantes,24
cajazeiras,24
publicações,23
alegação,23
atenção,23
maiores,23
funciona,23
recebe,23
circula,23
fatos,23
dom,23
diferente,23
passou,23
sus,23
pesquisador,23
vamos,23
justiça,23
vivo,23
enfermeira,23
usando,23
opinião,23
perdeu,23
jovens,23
incluindo,23
usa,23
israel,23
rápido,23
paralelo,23
deu,23
brasília,23
horizonte,23
usuários,23
terminal,23
parlamentares,22
chamada,22
etária,22
contrário,22
deputados,22
óxido,22
hospitais,22
evento,22
menores,22
randolfe,22
garantir,22
criar,22
necessários,22
aplica,22
passar,22
realizar,22
saiba,22
seguida,22
divulgou,22
falsidade,22
discussão,22
aconteceu,22
luiz,22
adquirida,22
vou,22
poderão,22
trata,22
rodrigo,22
adultos,22
administração,22
acamados,22
sobre,22
norte,22
publicou,21
mostrou,21
significa,21
avaliar,21
campo,21
inteligência,21
aprovada,21
declarou,21
fernando,21
eficaz,21
exame,21
imunizadas,21
1.140.750,21
imunológico,21
completamente,21
artificial,21
ana,21
passada,21
5º,21
afirmam,21
combater,21
força,21
bairro,21
fotos,21
importância,21
aprovado,21
fiocruz,21
conhecido,21
leva,21
principal,21
ministros,21
atualmente,21
marcelo,21
civil,21
imunológica,21
época,21
isolamento,21
senhora,21
barros,21
necessidade,20
neutralizantes,20
demanda,20
parlamentar,20
levantamento,20
orientações,20
começaram,20
possa,20
relatos,20
entrega,20
calendário,20
textos,20
ricardo,20
chegada,20
carvalho,20
assessoria,20
sugerem,20
cbn,20
usp,20
aprovadas,20
via,20
alexandre,20
possibilidade,20
fixos,20
rodrigues,20
e-mail,20
deixa,20
serviços,20
referência,20
pedidos,20
oliveira,20
página,20
sugere,20
procuradoria-geral,20
belo,20
seguras,20
animais,20
alegações,20
versão,20
sessão,20
amada,20
áudio,20
composição,20
barris,20
souza,19
trabalha,19
capazes,19
autorização,19
erro,19
utilizado,19
atuação,19
tv,19
protocolo,19
aliás,19
telegram,19
reduzir,19
plasma,19
passa,19
recente,19
reações,19
municipais,19
retirada,19
explicou,19
entenda,19
previsto,19
jornal,19
celular,19
fabricante,19
desenvolvendo,19
recomendação,19
único,19
certificado,19
imunizada,19
cloroquina,19
plano,19
produzida,19
13h,19
anunciou,19
primeira,19
gates,19
suspensão,19
comorbidadespessoas,19
sanitário,18
manaus,18
estrutura,18
europa,18
posts,18
famílias,18
tratamentos,18
fazenda,18
artigo,18
comparecer,18
passaporte,18
saber,18
passaram,18
repescagem,18
gabinete,18
bahia,18
aparecida,18
infectologia,18
humana,18
aprovou,18
desmentiu,18
recebido,18
chance,18
impacto,18
aquisição,18
representa,18
críticas,18
manter,18
franco,18
remédios,18
leite,18
baixa,18
15h,18
político,18
ressalta,18
deficiência,18
falando,18
esses,18
real,18
monitoramento,18
direitos,18
arena,18
tem,18
minutos,18
contaminação,18
delta,18
procurada,18
prisão,18
seres,18
tipos,18
natural,18
assistência,18
imunizar,18
ii,18
formação,18
biontech,18
diretamente,18
depois,18
branco,18
orientação,18
perigo,18
pgr,18
termos,18
partido,18
adicional,18
consegue,17
francisco,17
terça,17
poderá,17
moderna,17
18h,17
pazuello,17
alumínio,17
pedro,17
antes,17
segue,17
conter,17
capacidade,17
otávio,17
empresário,17
i,17
apresentação,17
augusto,17
interesse,17
coletiva,17
seguintes,17
dado,17
ajudar,17
familiares,17
nomes,17
aziz,17
agendar,17
humanidade,17
completar,17
água,17
improbidade,17
histórico,17
milhares,17
indivíduos,17
cuidados,17
vidas,17
específico,17
entidade,17
defendeu,17
viracopos,17
transporte,17
públicas,17
funcionários,17
neste,17
lima,17
sigilo,17
cenário,17
mínimo,17
projetos,17
amazonas,17
origem,17
fatores,17
fabricantes,17
adverso,17
adriana,17
luis,17
bauru,17
prevê,16
seguir,16
propagação,16
permite,16
realização,16
que,16
vieira,16
ocupação,16
relacionados,16
avião,16
manhã,16
autor,16
assim,16
fontes,16
cientistas,16
aplicativos,16
alegre,16
esforços,16
pernambuco,16
fortaleza,16
pni,16
ensaios,16
específicos,16
rebanho,16
responsáveis,16
segura,16
cita,16
aumentar,16
ouvidos,16
especialmente,16
aglomerações,16
federais,16
pfizer/biontech,16
funcionam,16
presidência,16
citado,16
tomando,16
acidente,16
tese,16
fda,16
milhão,16
v,16
recomenda,16
pires,16
agendados,16
marcos,16
quadro,16
clínicas,16
aprovação,16
estariam,16
íntegra,16
costa,16
pesquisas,16
primeiro,16
rosa,16
reportagens,16
comprovada,16
participou,16
conseguiu,16
paula,16
covaxin,16
especialista,16
registrado,16
tirou,16
perfis,16
nós,15
apresenta,15
anteriores,15
prevent,15
iniciou,15
direta,15
pais,15
alves,15
diário,15
cabe,15
políticos,15
dinheiro,15
avanço,15
básicas,15
modo,15
produtos,15
marília,15
8h30,15
proposta,15
utilizada,15
mudança,15
cultura,15
receita,15
enviadas,15
estratégia,15
propaga,15
vtclog,15
colaterais,15
ocorrido,15
fonte,15
