semana,repeticoes
2020-01-05,0
1,0
2,0
3,0
4,0
2020-02-04,0
6,0
7,0
8,0
2020-03-03,0
2020-03-10,0
2020-03-17,0
2020-03-24,0
2020-03-30,0
2020-04-11,0
2020-04-15,0
2020-04-20,0
2020-04-30,0
2020-05-05,0
2020-05-11,0
2020-05-19,0
2020-05-31,0
2020-06-04,0
2020-06-10,0
2020-06-16,0
2020-06-27,0
2020-07-04,0
2020-07-06,0
2020-07-13,0
2020-07-21,0
30,0
2020-08-04,0
2020-08-11,0
2020-08-21,0
2020-08-25,0
2020-09-04,0
36,0
2020-09-14,0
2020-09-22,0
39,0
2020-10-05,0
2020-10-16,0
2020-10-19,0
2020-10-27,0
2020-11-04,0
2020-11-11,0
46,0
2020-11-28,0
2020-12-03,0
2020-12-09,0
2020-12-18,0
2020-12-24,0
2020-12-30,0
